MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
2.9351797103881836,inf,41.53487777709961,6.444756031036377,2.6967110633850098,0.06234295666217804,27.646331787109375,5.2579779624938965,0.9195513018697314,0.919596254825592
3.5035650730133057,inf,66.19136047363281,8.135807037353516,3.163684844970703,0.07521452009677887,44.19510269165039,6.647939682006836,0.8717978385850524,0.8719029426574707
3.990391969680786,inf,87.88616943359375,9.374762535095215,3.5707507133483887,0.08633525669574738,59.33450698852539,7.702889442443848,0.8297695368817393,0.8298666477203369
4.44924783706665,inf,109.73480224609375,10.475438117980957,3.950136661529541,0.09613337367773056,74.8436508178711,8.651222229003906,0.7874788207317593,0.787554919719696
4.9019365310668945,inf,131.4788360595703,11.466422080993652,4.307920455932617,0.10524445027112961,89.56718444824219,9.463994026184082,0.7453350722497003,0.7453931570053101
5.357753276824951,inf,152.2884521484375,12.340520858764648,4.672427177429199,0.11428388208150864,103.8470458984375,10.190537452697754,0.7049478365927014,0.7049915790557861
5.754369735717773,inf,171.19271850585938,13.084063529968262,4.989215850830078,0.12227554619312286,117.10907745361328,10.821694374084473,0.668417175040726,0.6684374809265137
6.146234512329102,inf,189.7257843017578,13.77409839630127,5.307458400726318,0.130281001329422,130.36666870117188,11.417821884155273,0.6325111889287504,0.6325199007987976
6.526158332824707,inf,207.69271850585938,14.411548614501953,5.616391658782959,0.13788370788097382,143.2270050048828,11.967748641967773,0.5977461965434305,0.5977473258972168
6.851439476013184,inf,222.76065063476562,14.925168991088867,5.8899455070495605,0.1448606699705124,154.51097106933594,12.430244445800781,0.568613697749442,0.5686143636703491
7.163880825042725,inf,237.07000732421875,15.397078514099121,6.1571831703186035,0.1516028344631195,165.38230895996094,12.860105514526367,0.5409234481538061,0.5409303903579712
7.468664646148682,inf,251.3726806640625,15.854737281799316,6.416006088256836,0.15821069478988647,176.2247772216797,13.274968147277832,0.5132331134942114,0.5132533311843872
